id,host_is_superhost,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,price,review_scores_rating,reviews_per_month,neighbourhood
1429205438094495232,No,Grandview-Woodland,Other,Entire home/apt,2,1,1,231,NA,NA,Other
1429208089201876224,No,Grandview-Woodland,Other,Entire home/apt,2,1,1,198,NA,NA,Other
1429776506903992576,No,Kitsilano,Entire rental unit,Entire home/apt,5,1,2,245,4.71,1.75,Kitsilano
1429920527175293952,Yes,Victoria-Fraserview,Private room in home,Private room,2,1,1,114,5,0.19,Other
1430031165925020416,No,Kensington-Cedar Cottage,Entire home,Entire home/apt,8,3,4,713,5,1.23,Other
1430091149820490496,No,Hastings-Sunrise,Entire home,Entire home/apt,6,3,3,572,5,1.15,Other
1430117800545192192,Yes,Renfrew-Collingwood,Entire home,Entire home/apt,6,2.5,3,135,4.96,4.84,Other
1430141054340649728,No,Riley Park,Entire home,Entire home/apt,4,1,2,306,5,2.64,Other
1430634778679776256,No,Mount Pleasant,Entire rental unit,Entire home/apt,4,1,2,168,5,2.59,Mount Pleasant
1430664683716166144,Yes,Marpole,Other,Entire home/apt,3,1,1,95,5,8.12,Other
1430732820316185600,Yes,Victoria-Fraserview,Entire home,Entire home/apt,6,3,3,356,5,3.39,Other
1430830182755845632,Yes,Downtown,Entire rental unit,Entire home/apt,5,1,1,187,4.93,5.56,Downtown
1431182720273118976,No,Renfrew-Collingwood,Entire home,Entire home/apt,4,1,2,94,4.7,4.97,Other
1431312825387286528,No,Downtown Eastside,Entire rental unit,Entire home/apt,5,1,2,224,4,1.58,Downtown Eastside
1431367377507810560,No,Downtown,Entire rental unit,Entire home/apt,4,1,2,546,4.86,2.82,Downtown
1432111418808810240,No,Downtown,Entire rental unit,Entire home/apt,4,2,2,208,4.58,3.77,Downtown
1432136914174914816,Unknown,Downtown,Other,Private room,4,1,2,266,4.69,5,Downtown
1432284304041906944,Unknown,Downtown,Entire condo,Entire home/apt,3,1,1,147,4.93,8.11,Downtown
1432303750354299392,No,Kerrisdale,Other,Entire home/apt,5,2,2,241,5,1.18,Other
1432336815296029696,Yes,Downtown,Entire condo,Entire home/apt,3,1,1,114,NA,NA,Downtown
1432749974520523776,No,Kerrisdale,Private room in home,Private room,2,0.5,1,114,4.33,1.14,Other
1432873215345854208,No,Kensington-Cedar Cottage,Entire home,Entire home/apt,10,2.5,3,231,4.75,3.9,Other
1432930228539325952,Yes,Downtown,Entire rental unit,Entire home/apt,4,1,1,1492,4.68,4.05,Downtown
1433623341157056512,No,Hastings-Sunrise,Entire home,Entire home/apt,3,1,2,76,NA,NA,Other
1434754378392564992,No,Downtown,Entire rental unit,Entire home/apt,2,1,1,96,NA,NA,Downtown
